brake,hand_brake,throttle,steer
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.0,0.0
0.0,False,0.009999999776482582,0.0
0.0,False,0.019999999552965164,0.0
0.0,False,0.029999999329447746,0.0
0.0,False,0.03999999910593033,0.0
0.0,False,0.05000000074505806,0.0
